"css-146c3p1","css-175oi2r href","css-9pa8cd src","css-175oi2r href 2","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1 2","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-175oi2r href 4","css-9pa8cd src 2","css-175oi2r href 5","css-9pa8cd src 3","css-146c3p1 href 2","css-1jxf684 7","css-1jxf684 8","css-1jxf684 9","css-1jxf684 10","css-1jxf684 11","css-1jxf684 12","css-175oi2r href 6","css-1jxf684 13","css-1jxf684 14","css-1jxf684 href","css-1jxf684 15","css-1jxf684 16","css-1jxf684 17","css-1jxf684 href 2","css-1jxf684 18","css-1jxf684 19","css-9pa8cd src 4","css-175oi2r href 7","css-9pa8cd src 5","css-175oi2r href 8","css-9pa8cd src 6","r-1p0dtai src","css-1jxf684 20","css-1jxf684 href 3"
"Pinned","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1933095948252524900","Jun 12","Mukunze kutubaza uburyo umuntu yamenya imibare ya cashpower ye, uko umuntu yareba umuriro asigaranyemo ndetse n'uburyo umuntu yececekesha cash power mu gihe isakuza. Twabyegeranyije","_______________________________
Wondering how to check your meter number, mute sound, or view","Show more","https://x.com/reg_rwanda/status/1933095948252524900/photo/1","https://pbs.twimg.com/media/GtO8f9NXcAA-AmV?format=jpg&name=small","https://x.com/reg_rwanda/status/1933095948252524900/photo/2","https://pbs.twimg.com/media/GtO8f-pWUAAj4Bt?format=jpg&name=small","https://x.com/reg_rwanda/status/1933095948252524900/media_tags","and","Ministry of Infrastructure | Rwanda","Rwanda Utilities Regulatory Authority - RURA","51","63","284","https://x.com/reg_rwanda/status/1933095948252524900/analytics","54K","","","","","","","","","","","","","","","",""
"1h","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1935747194541191369","58m","Due to a technical issue, residents of Niboye Sector, specifically in Kanserege Cell and Byimana Village, are currently without power. Our team is doing everything possible to restore it as soon as possible. Thank you for your patience.","","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","1","4","","https://x.com/reg_rwanda/status/1935747194541191369/analytics","555","#poweroutage","https://x.com/hashtag/poweroutage?src=hashtag_click","·","#UmuriroWabuze","Mu  Murenge wa Niboye, mu Kagari ka Kanserege, by’umwihariko mu Mudugudu wa Byimana, nta muriro bafite. Itsinda ryacu ririmo gukora ibishoboka byose ngo umuriro ugaruke vuba.","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1935746691438633238","1h","Mu  Murenge wa Niboye, mu Kagari ka Kanserege, by’umwihariko mu Mudugudu wa Byimana, nta muriro bafite. Itsinda ryacu ririmo gukora ibishoboka byose ngo umuriro ugaruke vuba.","","","","","","","","","","","1","3","","https://x.com/reg_rwanda/status/1935746691438633238/analytics","1.1K","#UmuriroWabuze","https://x.com/hashtag/UmuriroWabuze?src=hashtag_click","","","","","","","","","","","","","",""
"1h","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1935742687447040017","1h","outage 
In the areas of Rusororo, particularly in the cells of Kabunga 1 & 2 and Mbandazi, as well as the sectors of Masaka and Kimironko, we kindly ask for your patience as we do everything possible to restore power as soon as possible. Thank you for your understanding.","","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","4","","","https://x.com/reg_rwanda/status/1935742687447040017/analytics","654","#power","https://x.com/hashtag/power?src=hashtag_click","·","#UmuriroWabuze",",
 Mu bice bya Rusororo, by’umwihariko mu tugari twa Kabunga 1 & 2 na Mbandazi, ndetse no mu mirenge ya Masaka na Kimironko, turabasaba kwihangana mu gihe dukora ibishoboka byose ngo umuriro ugaruke vuba. Murakoze.","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1935741604733628639","1h",",
 Mu bice bya Rusororo, by’umwihariko mu tugari twa Kabunga 1 & 2 na Mbandazi, ndetse no mu mirenge ya Masaka na Kimironko, turabasaba kwihangana mu gihe dukora ibishoboka byose ngo umuriro ugaruke vuba. Murakoze.","","","","","","","","","","","4","1","4","https://x.com/reg_rwanda/status/1935741604733628639/analytics","1.3K","#UmuriroWabuze","https://x.com/hashtag/UmuriroWabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","","","","Who to follow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Click to Follow FlyRwandAir","https://x.com/FlyRwandAir","https://pbs.twimg.com/profile_images/1214490877181214721/um6sPKUG_bigger.jpg","https://x.com/FlyRwandAir","Rodriguez Katsuva and African follow","RwandAir","@FlyRwandAir","","","Follow","RwandAir is the national carrier of the Republic of Rwanda.","#FlytheDreamofAfrica","","","","","",". Website:","rwandair.com","http://","DM is open to all.","","","","","","https://x.com/search?q=%23FlytheDreamofAfrica&src=hashtag_click","","","","https://t.co/i5MUqmQsKs","","","","","","","","","",""
"Click to Follow RwandaLabour","https://x.com/RwandaLabour","https://pbs.twimg.com/profile_images/1194869407991902208/DTgLK6MD_bigger.jpg","https://x.com/RwandaLabour","","Ministry of Public Service and Labour | Rwanda","@RwandaLabour","","","Follow","Minisiteri y'Abakozi ba Leta n'Umurimo mu Rwanda. Official Twitter account of the Ministry of Public Service and Labour of the Republic of Rwanda.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Click to Follow REBRwanda","https://x.com/REBRwanda","https://pbs.twimg.com/profile_images/1368851069435052032/J5_iwyVT_bigger.jpg","https://x.com/REBRwanda","","Rwanda Basic Education Board","@REBRwanda","","","Follow","The Official Twitter handle of the Rwanda Basic Education Board, Government of Rwanda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","https://x.com/i/connect_people?user_id=478609910","","","Show more","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
